Listing all files in folder ID: 1XvHukPiinuqxDUthxJRQ0zTNY5ESUupq and saving to ./listed_files.txt
File: z-LLM Model Training, ID: 1iVImHzEPubLryXMg-fv6jepYvG53DK2g, MIME Type: application/vnd.google-apps.folder
File: ESP Install Repor Chest Thumper 1-5 Unit 1 132.xlsx, ID: 1Am0f-ytNe0EZOI9go4NiVihJpV3bRrTL, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Chest Thumper 1-5 Unit 1 #132 Surveys.xls, ID: 1ArGizRlgjjtp1Ri2DzkVTPNF9XBpFYB6, MIME Type: application/vnd.ms-excel
File: ESP Install Repor Chest Thumper 1-5 Unit 1 132.pdf, ID: 1AmkmkxngLGHKhFsYoXOn2GCgLIb8BcQQ, MIME Type: application/pdf
File: Final Rio Brazos 26-15 Unit 2 #153_Survey Sheet.xlsx, ID: 1BDBP1DVYRcUewhXL-hg-p4Tv2KOZWGvU, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Rio Brazos 26-15 Unit 2 #153.xlsx, ID: 1BGCjuV74DhVx86enBXCBqVB8ZrqXVO9Q, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Garrett A #183.xlsx, ID: 1AAcPKFOolrey5rY2qY08DnpxKnENUZKx, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Garrett A #183.pdf, ID: 1AGgbo-_d-QJa6OGgrqJNucVXNuw-BH7I, MIME Type: application/pdf
File: ESP Install Report Lela 7-18 D 246.xlsx, ID: 1A1LKuC7tVR4g2Ea7zg_X44z9Gw3nXUom, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 151.pdf, ID: 1AgFb6eevW-1LQ0BpK80KiHLTLkZ-qe6F, MIME Type: application/pdf
File: ESP Install Report Lela 7-18 D 246.pdf, ID: 1AAADlK2tebtqekg0UtMtErjiBAPB85sc, MIME Type: application/pdf
File: Hughes 43-47 Unit 2 #251_Survey File (1).xls, ID: 16LejrnJJ5RXKsDZAQlKsWCFXiBtR1-Tn, MIME Type: application/vnd.ms-excel
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 162.pdf, ID: 1AOrzk8oPABRqokqts5jEIr8etycYUxk4, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 172.pdf, ID: 1ANVgqPXREr791h6upoSV7YHksi1uu_HP, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 161.pdf, ID: 1ARFSNoaZE81r2eM200_w66WZRBVaJJd5, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 264.pdf, ID: 1AKd2j4ODZn9kDSljviAk8k_2KPEfyIEZ, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 163.pdf, ID: 1ANaK-PqLjqC4M8wuM0EBvefq4ajUudYb, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 1 142.pdf, ID: 19gsBneeTJvC4y18j1f0oJv4J0vvpr2Su, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 1 141.pdf, ID: 1Aj2JZCn68gVcgED-GmkK1XAvmuw5wBOf, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 1 132.pdf, ID: 19tr6Du_Xovrw0zAixdsdxG3D9OxWOxRv, MIME Type: application/pdf
File: ESP Install Report Black Golden Eye 13-12 Unit 2 #251..pdf, ID: 183k-RrZqwliCv0SJ-WjlNjJrKH523H-M, MIME Type: application/pdf
File: Tex-Harvey Spraberry #2472_Survey.xlsx, ID: 16AX3GpMnZIjhtIUbelFPsyqUBE3dziBr, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 1 214.pdf, ID: 19gJwKaa4Z7i2w26x9aGIr8MADnfZeAvh, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 152.pdf, ID: 1ActJaQRoZU6fw_ptc-aYvxD1cXQ8Iuxg, MIME Type: application/pdf
File: Apollo 38-1 Unit 2 #264_Survey File.xlsx, ID: 16yc6xREoW3zcCWsdsHiAlMH0xyD2SF5T, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 2 153.pdf, ID: 1Ab7YA9u7MGizrK9IP9mwWn9oOA8owHPx, MIME Type: application/pdf
File: 2-1-2024 ENDEAVOR ENERGY RESOURCES HILL 30-19 E 151 INSTALL.pdf, ID: 12AUV1vwJoYvOQzNNxzNOXFc5yJq7iUgb, MIME Type: application/pdf
File: ESP Install Report RIO SAN JACINTO 38-43 UNIT 1 133.pdf, ID: 19pajdVVTsnswTdhuVp-qAQPqVsLZZl-f, MIME Type: application/pdf
File: ESP Install Report HUGHES 43-47 UNIT 2 251 (2).pdf, ID: 18VI3axxyaYpI65XfXvZyCgE9kP7N37-1, MIME Type: application/pdf
File: ESP Install Report APOLLO 38-1 UNIT 2 264 (2).pdf, ID: 18WW1T1A3Yjtx8IjTLzJ8XJGwXs7LBZWV, MIME Type: application/pdf
File: ESP Install Report FASKEN 9-16-21 UNIT 1 161.pdf, ID: 16nd87S3Gq6s1Med0cOjFP9D_P4uO_EbZ, MIME Type: application/pdf
File: 02-10-2024 ENDEAVOR ENERGY RESOURCES HYDRA 45-4 UNIT 1 124 INSTALL.pdf, ID: 12F_SaMD79jVebH0xtPgutt9STbLL3njB, MIME Type: application/pdf
File: ESP Install Report Tex-Harvey Spraberry #2472.xlsx, ID: 16QoxUB9sEjoqTgrESKvtM8PGz4oGb8q1, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report HUGHES 43-47 UNIT 2 172..pdf, ID: 17xwrzU1qGQBJtElE78sPdOQ32ZDHQ91D, MIME Type: application/pdf
File: ESP Install Report Tex-Harvey Spraberry #2472.pdf, ID: 16YOtdbvwqd305ndloYPwnGJ-W0qc0jm2, MIME Type: application/pdf
File: ESP Install Report Hughes 43-47 Unit 2 #251.pdf, ID: 16bhUhY4y1wHhl8dBTJc5xK97URJf2ZDh, MIME Type: application/pdf
File: 2-7-2024 Endeavor Cypert E 57-51 152 install.pdf, ID: 12-LSySuS9ueFKBusR8NI66HGpO4hBGWc, MIME Type: application/pdf
File: ESP Install Report Apollo 38-1 Unit 2 #264.pdf, ID: 16xbtp7oWpWFneadD7dH9Kc4ND2rc_znb, MIME Type: application/pdf
File: 2-5-24 ENDEAVOR HYDRA 45-4 UNIT 2 #181 INSTALL.pdf, ID: 122qUzE4V4wQBSug6A8wC-v6cztKiTMzg, MIME Type: application/pdf
File: FINAL_Black Goldeneye 13-1 Unit 2 #251_Survey Sheet.xlsx, ID: 18VHNazCFcJU3r23ZKLqshgnAuuIA6Vbt, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Hughes 43-47 Unit 2 #172_Survey File.xlsx, ID: 18JRjvv0f9aI7q4HCtZVoCQkY1XqwQjOL, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: 02-21-2024 ENDEAVOR DICKENSON 7-18 WEST # 162 INSTALL.pdf, ID: 12AsAHvir6dkrwlOzL_HVgiEk6U6foywQ, MIME Type: application/pdf
File: ESP Install Report Amoco Blanche 2-28 A #115.pdf, ID: 18Fz_ovFBFdc9ELaFu6YJpEwVa1P7cSUg, MIME Type: application/pdf
File: ESP Install Report Rio Brazos 26-15 Unit 2 #153.pdf, ID: 1BJc7TTbo730Q0xcxxD26Tvqg21S4rH96, MIME Type: application/pdf
File: ESP Install Report Black Golden Eye 13-12 Unit 2 #251.pdf, ID: 17yp4_qfi8qjqVmdTTU9u4OAqMuIkXHvL, MIME Type: application/pdf
File: ESP Install Report Amoco Blanche 2-28 A #115.xlsx, ID: 18B2eDyx4H-z8cb46TFgXNjPYO8ud-AcL, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Tex-Harvey Spraberry #2284 Surveys.xls, ID: 15afFAohHeDTO-tmxSY_zq8TjE7kbfaL2, MIME Type: application/vnd.ms-excel
File: Tex-Harvey Spraberry #2232 - Final Surveys.xlsx, ID: 15gm-GbBQn1yLyz_EIjXMrZFyR0mkbPbn, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Tex-Harvey Spraberry #2244R Surveys.xls, ID: 15gVFu9g5GXRokxytwD93ix_mzHGsKKMl, MIME Type: application/vnd.ms-excel
File: Tex-Harvey Spraberry #2275 Surveys.xls, ID: 15d1rXSQR7ZtQLnBr9ZDdLoB9mYp6PrNp, MIME Type: application/vnd.ms-excel
File: 3.11.24 HUGHES 43-47 UNIT 1 241 Install Report.pdf, ID: 1po8CPel-6CpBe_roqxieB3YuO6ZYPbIU, MIME Type: application/pdf
File: Rosalie 6-3 Unit 2 #172_Survey File.xlsx, ID: 13vB8MBxW4K4_R-TrBczRJEYzJLQtxnSy, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Athena 44-36 Unit 1 #123_Survey File.xls, ID: 1k4x-ISCWtladB4tkJHibs04yRkAePfUs, MIME Type: application/vnd.ms-excel
File: Final_Hydra 45-4 Unit 2 #282 DD Surveys.pdf, ID: 1nbudQGIZbCHX9zCwjD3nHAVT0DdZkgft, MIME Type: application/pdf
File: NE City 35-47 Unit 2A #174 Surveys.xls, ID: 1zsVna4W1vd2UaxeoOBuVo8y9mLDVsIzD, MIME Type: application/vnd.ms-excel
File: FINAL_NE City 35-47 Unit 2B #251_Survey Sheet.xlsx, ID: 1zx4lI2IxarGiuQr-ck4MS6KxxAfNALPt, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: FINAL_NE City 35-47 Unit 1 #152_Survey Sheet.xlsx, ID: 1zxtw8Vsf8acVKyfgHuLlDnxTg2WjSRW8, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Final_NE City 35-38 Unit 1 #142 _Survey Sheet.xlsx, ID: 1zkrKKyBsB7on5axyV-CqW-zCxOwx9HOQ, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Hydra 45-4 Unit 2 282.pdf, ID: 129nbMHEJH24OJ903Hy35LmGJWLGqXqR6, MIME Type: application/pdf
File: ESP Install Report Stephens 6-31 G 171.pdf, ID: 1BP_oTSeo2DMPoQc6bO55CbWjgpuzSQP1, MIME Type: application/pdf
File: ESP Install Report Stephens 6-31 G 171.xlsx, ID: 1BNVfTonV6yiVvEdG2HFL4jI_FnFO04oZ, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report WOODY 6-35 UNIT 1 113 (2).pdf, ID: 1BmlhFXFfHIigefn8RnGZ76YbGl6RXx8o, MIME Type: application/pdf
File: ESP Install Report Kronos 61-7 G 274.pdf, ID: 1BQ018yc3VLOYVHbS33stMgfC3aXUrB74, MIME Type: application/pdf
File: ESP Install Report FROMAN 8-5 111.pdf, ID: 1BQNM1YG1KEOfSnCTkZlkgZQZQxKSsAw0, MIME Type: application/pdf
File: FINAL_Stephens 6-31 G #171_Survey Sheet.xlsx, ID: 1BpB8RKx-_LvuVBrj7WHpHIbLjPUMYuRl, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Final Woody 6-35  #113 Surveys.xlsx, ID: 1BM92U5wMeRUc__mvpJT4fEzz98ZNBuBr, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Final Kronos 61-7 G #274_Survey Sheet.xlsx, ID: 1BMqVRJ7zYNwX68BpUFiTkr0vmwvdqYtp, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: surveys(11) Froman 111.xlsx, ID: 1Bp5oduiAgw3aq6dvAJ6akbLLhNXy62C3, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: 12-20-23_ENDEAVOR_HUNTER 33-26 UNIT 2 261 INSTALL.pdf, ID: 1jeJA4Z8GfeXPOnEdVjqDNi85DPoZkjSv, MIME Type: application/pdf
File: 12-27-2023_ENDEAVOR_HUNTER 33-26 UNIT 1 122_INSTALL.pdf, ID: 1jX4UI1MWrmww7Pk3q-hACsrScDlcPy4h, MIME Type: application/pdf
File: 12-13-2023 ENDEAVOR CYPERT D 57-51 141 INSTALL.pdf, ID: 1ju9313AP36qvDcdGlXPKKjeGTqdzEhTk, MIME Type: application/pdf
File: 11-2-2023 - ENDEAVOR ENERGY RESOURCES - MCALPINE GRISHAM 47-35 1A UNIT 142 - INSTALL.pdf, ID: 1htkk_fQi8HxJ2GHvrrTf_3ipS0jfavnW, MIME Type: application/pdf
File: INSTALL TICKET 1.25.24.pdf, ID: 1jRECRIpvRqm15tif6QZm_D8r_oI2p3zo, MIME Type: application/pdf
File: INSTALL SCHEMATIC Hughes 43-47 E #144 - RUN 2.pdf, ID: 1jks5_7EjcIhpaftD4ztjfBjWpI2FwSuY, MIME Type: application/pdf
File: INSTALL TICKET 1.24.24.pdf, ID: 1jVEMSMMFAup_KCKtPI7wG-6I-O1X7f1Q, MIME Type: application/pdf
File: ESP Install Report Coachwhip 17-29 211.pdf, ID: 1iHsdI6h2spMMuAOny_Fo52AGvEyAuCrn, MIME Type: application/pdf
File: 11-11-23 ENDEAVOR ENERGY RESOURCES ANACONDA 5-4 UNIT 2 173 INSTALL REPORT.pdf, ID: 1iRNtagWfcZwQ7ZqjExFqUp24w0Wezxih, MIME Type: application/pdf
File: INSTALL TICKET 1.23.24.pdf, ID: 1jZuThC-u2Djimj5CrDX03xSQqQGhBBvZ, MIME Type: application/pdf
File: ENDEAVOR HILL 30-19 #145 NEW INSTALL DESIGN 12.09.23.pdf, ID: 1hyxhj3di5HzXjwKQ8KF1JQGceqAf9v6b, MIME Type: application/pdf
File: INSTALL TICKET 1.20.24.pdf, ID: 1jfZUooG5gHWhr00NJs0h-6VGwNOTRmgk, MIME Type: application/pdf
File: 11-2-23ENDEAVOR ENERGY RESOURCES KRONOS 61-7 G 274 INSTALL.pdf, ID: 1hwt4ITd8zqwu3hCV7CqjmRIcdXwu67PP, MIME Type: application/pdf
File: Run Report_Zeus 7-6 Unit 2 163.xlsx, ID: 1ji_AxZJuLYmrpJ5W349rVkTZSfnuiDSF, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ENDEAVOR HILL 30-19 #133 NEW INSTALL 12.09.23.pdf, ID: 1gxcI4tZb47VTJxb4GTtufzVxJlJVr1kI, MIME Type: application/pdf
File: 11-6-23 ENDEAVOR KOONCE WEST 46-34 UNIT 1 172 INSTALL REPORT.pdf, ID: 1haDoEqSFl8EiOt4F0nhVu9IuNcT7CSFQ, MIME Type: application/pdf
File: 11.14.2023, ENDEAVOR ENERGY RESOURCES, DICKENSON 7-18 WEST 162, INSTALL.pdf, ID: 1hBUrrejwJ9lzCAXZefDFBNt9H6cmK-f4, MIME Type: application/pdf
File: ESP Install Report Coachwhip 17-29 132.pdf, ID: 1ie9LUKxjg9P-WTksejmqdKut2tH7HCvI, MIME Type: application/pdf
File: ESP Install Report Coachwhip 17-29 141.pdf, ID: 1iN-sJGRGDlDoCrBkCOjXVPuIN6Jwgkc4, MIME Type: application/pdf
File: ESP Install Report Coachwhip 17-29 112.pdf, ID: 1hqRcUYiGWqDWRbNV-dfGTjYjHzdqECSs, MIME Type: application/pdf
File: 10-27-23 Endeavor Rhea 1-6 Unit 1 221 install.pdf, ID: 1hVn_CCLwBi4lA-VYjqm0K4mdvjwu7X1S, MIME Type: application/pdf
File: 10-24-2023 - ENDEAVOR ENERGY RESOURCES - RHEA 1-6 UNIT 1 133 INSTALL.pdf, ID: 1hASzmN1Fbi6vRGEf-Z0Ih6zniygwccUd, MIME Type: application/pdf
File: ENDEAVOR HILL 30-19 #143 NEW INSTALL DESIGN 12.09.23.pdf, ID: 1ha6aVJk1hSv45tTvD2PC9tAOJJOgCZ62, MIME Type: application/pdf
File: 4-23-2023 ENDEAVOR INTERSTATE 8 - 32 A 212 INSTALL.pdf, ID: 1gY6hF85Yvx5RphQDydUo-0frJJrItD6i, MIME Type: application/pdf
File: 6-30-22 ENDEAVOR MINOTAUR 38-66 UNIT  #232 INSTALL.pdf, ID: 1fu6EsZiDhIsC8MrKZaMe7Q8sKkICQTPy, MIME Type: application/pdf
File: ENDEAVOR HILL 30-19 #144 NEW INSTALL DESIGN 12.09.23.pdf, ID: 1hOthg78cV9meV4-og7lw_DHOhzph7aYD, MIME Type: application/pdf
File: ENDEAVOR HILL 30-19 #125 NEW INSTALL 12.06.23.pdf, ID: 1h30Gqh8c4oOGfYkEWUl87sHFL1jcyOoT, MIME Type: application/pdf
File: 10-26-23 ENDEAVOR TEX-HARVEY SPRAYBERRY 2454 INSTALL.pdf, ID: 1gyyNxQSbbVQwz6ZqjFonhKGGYn5lbPp3, MIME Type: application/pdf
File: 6-15-22 ENDEAVOR AMOCO BLANCHE 2-28 E #151 INSTALL.pdf, ID: 1fv0zUzgt4bKIXSQbB1ap_W_frxetXlEt, MIME Type: application/pdf
File: CARBON 12-13 #162 INSTALL.xlsx, ID: 1FWAIncpVIC5MAqKV0-XvXRIjB6rWMpOz, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: 3-8-2022 ENDEAVOR HILL 30-19 F 163 INSTALL REPORT.pdf, ID: 1gbRbpT0JX7ZIZhGPV-VCLjvNxJIrlDWh, MIME Type: application/pdf
File: 4-28-23 ENDEAVOR YOU JANE 20-25 UNIT 1 #132 INSTALL.pdf, ID: 1gCNsV8HPNXQelgCfP3GpTUbZmXMl4RnO, MIME Type: application/pdf
File: 2-24-23 Endeavor Energy Resources Hydra 45 4 Unit 2 173 install.pdf, ID: 1gdoq1t__pKQ6wK3IeRTWanbmMhGVDMy2, MIME Type: application/pdf
File: 5-16-23 ENDEAVOR ENERGY RESOUCES ARES 27-26 UNIT 1 112 INSTALL.pdf, ID: 1fyDCtb9pD9Ai5cpBHkXC8Ko3bHXt2OuB, MIME Type: application/pdf
File: ESP Install Report Silverback 13-8 Unit 1 241 (2).pdf, ID: 1geVYmmP1M5cGk07Jp5C-aewXH9tVnYdE, MIME Type: application/pdf
File: 1-4-24 ENDEAVOR PIER 22-23 UNIT 1 #143 INSTALL.pdf, ID: 1gdy0ZwuRw9cj53jhQUZiccXqOsLXXIIx, MIME Type: application/pdf
File: 8-23-21 ENDEAVOR SILVERBACK  13-8 UNIT 1 241 INSTALL.pdf, ID: 1FYF7rp3XqcuaxnI-1_5C_1KHrs2Eq0Il, MIME Type: application/pdf
File: 5-26-2022 Endeavor Minotaur 38-66 Unit 1 112 INSTALL - Copy.pdf, ID: 1FZjrBo3j76sMejipRU06obe9Hd4Qr9ta, MIME Type: application/pdf
File: Schematic Package V1 - Endeavor Energy Resources - Nail Ranch 1-12SL Unit 2 #8LS - 2023-07-12.pdf, ID: 1dq4t9NrNwonRfoyQMK2sDgd0sfPKBloK, MIME Type: application/pdf
File: ESP Install Report Rio San Marcos 36-45 Unit 1A 143 (2).pdf, ID: 1gk7asnulX4zLAh1Oa32JvQhTj5t0aU2q, MIME Type: application/pdf
File: Amoco-Blanche 2-28 Unit 1 #143 11-5---11-6-23 Install Report.xlsx, ID: 1dDGaVki2q71plrWKVQE57vtPcSgXZ5LC, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: 11-27-2023 ENDEAVOR ATHENA 44-36 UNIT 1 142 INSTALL.pdf, ID: 1doz_h34Ws2J_oDGDWhSFxJz21KpPE683, MIME Type: application/pdf
File: ESP Install Report Nail Ranch 1-12SL Unit 2 8LS (2).pdf, ID: 1gioiS9CE9aA8ovSoW6oFHpk5bOGXpLH9, MIME Type: application/pdf
File: 11.27.23 Endeavor - McAlpine-Grisham 47-35 Unit 2A 164 - Determine.pdf, ID: 1dzVSBedcUgZGHd8w76N2iHZcrelyjBYM, MIME Type: application/pdf
File: Amoco-Blanche 2-28 Unit 1 #121 11-11-23 Install Report.xlsx, ID: 1dYYGgF_Spid8VClDnekoEzA74gJ5Ausa, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Rio San Marcos 36-45 Unit 1A 135 (3).pdf, ID: 1gqidqh-HnUOQ8P8BZdwL0xsIMW6_n9WW, MIME Type: application/pdf
File: Amoco-Blanche 2-28 Unit 1 #213 11-18-23 Install Report.xlsx, ID: 1dCXe4YSfmDSsiYoQclwwo3nZ2hy19PNk, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Rio Sabine 39-42 #244.xlsx, ID: 1dz2cFknVLCp0P5FXzQ5slQd1PxuMiFk1, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Amoco-Blanche 2-28 Unit 1 #112 11-14-23 Install Report.xlsx, ID: 1dgz08NBBeHrnY6Nj4yi0t8mOE_gjw1hF, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Amoco-Blanche 2-28 Unit 1 #115 11-10-23 Install Report.xlsx, ID: 1dfw-Dk0KRWsFcPIj8pZlCTOmmL1_jKWe, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Amoco-Blanche 2-28 Unit 1 #132 11-6---11-7-23 Install Report.xlsx, ID: 1dX60Gn_k_6Br9Tzxo3K9xEVR_7JJhMv2, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: 8-4-22 Install Report.xlsx, ID: 1nf6nura8hDLJcMlQqjoZNhUVJfqCprRz, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: 11.28.23 ENDEAVOR FASKEN 9-16-21 UNIT 1 211 INSTALL REPORT.pdf, ID: 1dp91bE5v3x1XE-3GW8qAsqDjmDyNaF-h, MIME Type: application/pdf
File: Amoco-Blanche 2-28 Unit 1 #111 11-7---11-8-23 Install Report.xlsx, ID: 1dmshHmPwdryxgtpZeweDeD9s_g_TcDpK, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Cosper 37-48 WSL 174 RUN 2.pdf, ID: 1RjKWhfweiFIefGRqWWJjjVjv8GvFRX96, MIME Type: application/pdf
File: Precise DHS Field Report - Endeavor Rio Sabine.pdf, ID: 1cnvdTSigzsaaP8de63ih8H_KbIJUbT0D, MIME Type: application/pdf
File: Pull Report - Endeavor Energy - Athena 44-36 Unit 1 #142 -Pull 4.14.23.pdf, ID: 1caq95lWbHN3ZvnPyjlCm7KMYZ52Cmhes, MIME Type: application/pdf
File: Rio San Marcos 36-45 Unit 1A 135_Install Report.pdf, ID: 1duixPTNpZXoAQ4K51Y_5UfMAWD6HqqIm, MIME Type: application/pdf
File: HorizontalWellsWithEPS.xlsx, ID: 1dBOTpZkiDdCqb4P2SVn0aoHZJ0n4Sd0s, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Tex-Harvey Sprayberry #2123 - WDR - Effiency Pull - 10-05-2023 (ID 2383457).xlsx, ID: 1XsK91lqra2pfAvBulqSWflPlk1fLBHdF, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Rio Sabine 39-42 Installation Report.pdf, ID: 1dyghyoG0MQ8gbEzmuE1sBU3NeqKu7AP_, MIME Type: application/pdf
File: Nail Ranch 1-12SL #8LS RB0723_ESPReport.pdf, ID: 1d39CZzFhmnlKCYxnKr2w0sxv__gdfcDg, MIME Type: application/pdf
File: Hughes 43-47 Unit 1 212 RUN 2.pdf, ID: 1Xxtej1MwUPi0n6dXNZjPkA8bEFsAHqHD, MIME Type: application/pdf
File: EER RIO SABINE 39-42 D #244 GL CONVERSION DESIGN - 1750's (ID 2412351).pdf, ID: 1STkS-b1nmosWR-GthBpAB8lxou1i1UON, MIME Type: application/pdf
File: INSTALL ENDEAVOR HUNTER 33-26 UNIT 2 #282.xls, ID: 1d3xD5rj_FK_m3T5ijPTFBAoAi8NaRatt, MIME Type: application/vnd.ms-excel
File: ESP Install Report Me Tarzan 8-25 WSL 164.pdf, ID: 1SWD_Tj83cWqwNhnKM1s34SdgA85NEV1O, MIME Type: application/pdf
File: ESP Install Report Me Tarzan 8-25 WSL 153.pdf, ID: 1RdnIvoUTgtFc2F65XX1St_LHcoHZVL0q, MIME Type: application/pdf
File: ESP Install Report CERBERUS 23-14 UNIT 1 235.pdf, ID: 1SnmJOksSmYAd5wFavrzBP4Oj1lG-XRVI, MIME Type: application/pdf
File: 8-23-2023 ENDEAVOR ENERGY PIER 22-23 UNIT 1 143 INSTALL REPORT.pdf, ID: 1SaXKTBZpLw8GAYJqihCRIfUUZMybq9oj, MIME Type: application/pdf
File: ESP Install Report Interstate 5-32 unit 2 252.pdf, ID: 1Xuq1UeeuFhgVgX3kU7e5mfLrPs31BB7X, MIME Type: application/pdf
File: ESP Install Report Hazlewood H 41-32 Unit 2 184 RUN 2.pdf, ID: 1SsHZoau86QRAjsVsHa_DjB-h85w9vDGc, MIME Type: application/pdf
File: ESP Install Report CERBERUS 23-14 UNIT 1 222.pdf, ID: 1SL0if2yVlhfplE-9W0N9FSI1tx-0nAkp, MIME Type: application/pdf
File: ENDEAVOR McAlpine Grisham 47-35 #211.xls, ID: 1XyArVB-fCb_kl3gn2APZpXN7gO1YfJ9Q, MIME Type: application/vnd.ms-excel
File: ENDEAVOR STEPHENS 161 INSTALL TICKET 11.19.23.pdf, ID: 1SuMNDmlmDPFWi5pvBIpk1oV9ZR2MrlMz, MIME Type: application/pdf
File: ESP Install Report Interstate 5-32 unit 2 183.xlsx, ID: 1XzX-NPrt0fefdsJcE16N6w_dfQRUWdVf, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ENDEAVOR STEPHENS 153 INSTALL TICKET 11.09.23.pdf, ID: 1SJ3JUSzs_yXiJpN7hjsfHDwWB7JI8v09, MIME Type: application/pdf
File: ESP Install Report Interstate 5-32 unit 2 183.pdf, ID: 1Y2T_nnBob-pJ43cu-rcCUjU6Rp4Uh6Pe, MIME Type: application/pdf
File: Rio Brazos 26-15 Unit 2 #154 12-12---12-13-22 Install Report.xlsx, ID: 1Y-rN9jI_al6d9MP5dhOgAEE2aTfA4FAV, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ENDEAVOR HILL 30-19 #231 INSTALL.xls, ID: 1Y92ZvMTsNgWhxtSazFmiJiiHhNr97OSE, MIME Type: application/vnd.ms-excel
File: endeavor mcalpine griham 47-35 #223 install 7-14-2023.xls, ID: 1Y3NmPvfzNT-lGZ0N1KiMHteW9Zn55Rs5, MIME Type: application/vnd.ms-excel
File: ENDEAVOR HYDRA 45-4 #262.xls, ID: 1Y6NXYJOLZ6a7Hq1Xy8gNjA_QmlhoRytq, MIME Type: application/vnd.ms-excel
File: Athena 44-36 Unit 2 263.pdf, ID: 1RiK4YtHGNqdkjl3YQSLn3ZbyqOgARsDh, MIME Type: application/pdf
File: ENDEAVOR STEPHENS 152 INSTALL TICKET 11.08.23.pdf, ID: 1RmZzzQ7OWsqOkxAOAT_tCECVUP1252hD, MIME Type: application/pdf
File: 9-29-23 ENDEAVOR CERBERUS 32-14 UNIT 1 142 INSTALL REPORT.pdf, ID: 1S41NLgEuKRagk0OfwtTNbSwyslejnbVd, MIME Type: application/pdf
File: install ticket 6.18.23.pdf, ID: 1PnS8ttThA2TauIh6HoUcA45LrSJzq56p, MIME Type: application/pdf
